ABID;TYPE;SPECIES;ANTIGEN;GENSYMBOL
ab0012;CD markers;human, non-human primate;CD8;CD8A
ab0012;CD markers;human, non-human primate;CD8;CD8A
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0012;CD markers;human, non-human primate;CD8;"CD8A;CD8B"
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0013;CD markers;human;CD9;CD9
ab0014;CD markers;human;CD10;MME
